Topic N,Words
0,"0.014*""model"" + 0.011*""data"" + 0.010*""use"" + 0.010*""sentiment"" + 0.008*""base"" + 0.008*""time"" + 0.007*""network"" + 0.007*""learn"" + 0.006*""word"" + 0.006*""input"""
1,"0.021*""factor"" + 0.017*""return"" + 0.012*""market"" + 0.012*""model"" + 0.011*""risk"" + 0.009*""asset"" + 0.007*""time"" + 0.007*""cryptocurrency"" + 0.006*""network"" + 0.006*""data"""
2,"0.015*""model"" + 0.012*""variable"" + 0.010*""data"" + 0.008*""use"" + 0.007*""company"" + 0.007*""tree"" + 0.005*""success"" + 0.005*""regression"" + 0.005*""funding"" + 0.005*""startup"""
3,"0.017*""data"" + 0.009*""value"" + 0.006*""analysis"" + 0.006*""feature"" + 0.005*""model"" + 0.005*""area"" + 0.005*""price"" + 0.005*""spatial"" + 0.005*""method"" + 0.005*""regression"""
4,"0.016*""portfolio"" + 0.011*""data"" + 0.010*""copula"" + 0.009*""cluster"" + 0.008*""distribution"" + 0.008*""risk"" + 0.008*""model"" + 0.008*""return"" + 0.007*""factor"" + 0.007*""use"""
5,"0.023*""frm"" + 0.014*""risk"" + 0.011*""return"" + 0.010*""private"" + 0.009*""equity"" + 0.009*""market"" + 0.009*""test"" + 0.009*""financial"" + 0.009*""value"" + 0.008*""company"""
6,"0.016*""model"" + 0.009*""copula"" + 0.005*""variable"" + 0.005*""factor"" + 0.005*""data"" + 0.005*""correlation"" + 0.005*""value"" + 0.004*""cdo"" + 0.004*""parameter"" + 0.004*""item"""
7,"0.021*""model"" + 0.014*""day"" + 0.014*""svi"" + 0.011*""week"" + 0.009*""period"" + 0.007*""di"" + 0.007*""result"" + 0.007*""time"" + 0.006*""minute"" + 0.006*""data"""
8,"0.012*""crypto"" + 0.012*""function"" + 0.010*""contract"" + 0.010*""currency"" + 0.009*""blockchain"" + 0.009*""value"" + 0.008*""smart"" + 0.007*""crix"" + 0.007*""coin"" + 0.007*""token"""
9,"0.014*""model"" + 0.013*""volatility"" + 0.013*""price"" + 0.012*""option"" + 0.009*""time"" + 0.008*""risk"" + 0.007*""jump"" + 0.007*""estimate"" + 0.007*""pricing"" + 0.007*""market"""
