Topic N,Keywords
0,"0.014*""model"" + 0.010*""data"" + 0.009*""use"" + 0.009*""sentiment"" + 0.009*""network"" + 0.009*""learn"" + 0.007*""base"" + 0.007*""time"" + 0.006*""training"" + 0.006*""layer"""
1,"0.013*""model"" + 0.012*""copula"" + 0.006*""cdo"" + 0.005*""item"" + 0.005*""tranche"" + 0.005*""exam"" + 0.004*""landkreis"" + 0.004*""spatial"" + 0.004*""exercise"" + 0.004*""csv"""
2,"0.020*""return"" + 0.014*""private"" + 0.013*""equity"" + 0.012*""market"" + 0.012*""risk"" + 0.011*""factor"" + 0.008*""company"" + 0.007*""asset"" + 0.007*""test"" + 0.007*""beta"""
3,"0.033*""frm"" + 0.015*""risk"" + 0.012*""financial"" + 0.010*""candidate"" + 0.009*""model"" + 0.009*""systemic"" + 0.009*""market"" + 0.009*""institution"" + 0.008*""america"" + 0.008*""measure"""
4,"0.014*""model"" + 0.009*""estimate"" + 0.008*""distribution"" + 0.007*""copula"" + 0.007*""value"" + 0.007*""use"" + 0.007*""data"" + 0.007*""return"" + 0.007*""function"" + 0.007*""time"""
5,"0.013*""time"" + 0.011*""series"" + 0.010*""data"" + 0.005*""ar"" + 0.005*""temperature"" + 0.003*""md"" + 0.003*""mining"" + 0.003*""emotion"" + 0.003*""fit"" + 0.003*""use"""
6,"0.014*""data"" + 0.011*""model"" + 0.010*""variable"" + 0.006*""value"" + 0.005*""regression"" + 0.005*""tree"" + 0.005*""use"" + 0.004*""method"" + 0.004*""feature"" + 0.004*""analysis"""
7,"0.012*""crypto"" + 0.011*""function"" + 0.010*""contract"" + 0.009*""currency"" + 0.009*""blockchain"" + 0.008*""value"" + 0.008*""smart"" + 0.007*""token"" + 0.007*""coin"" + 0.006*""address"""
8,"0.019*""svi"" + 0.018*""day"" + 0.016*""week"" + 0.014*""model"" + 0.011*""di"" + 0.009*""period"" + 0.008*""minute"" + 0.007*""learn"" + 0.007*""granularity"" + 0.007*""univariate"""
9,"0.017*""portfolio"" + 0.015*""data"" + 0.014*""cluster"" + 0.008*""matrix"" + 0.008*""weight"" + 0.008*""number"" + 0.007*""use"" + 0.007*""pc"" + 0.006*""factor"" + 0.006*""variance"""
10,"0.016*""option"" + 0.015*""price"" + 0.015*""volatility"" + 0.014*""model"" + 0.009*""risk"" + 0.008*""time"" + 0.008*""hedge"" + 0.008*""pricing"" + 0.008*""maturity"" + 0.007*""density"""
